gene	log2FoldChange_CD8	log2FoldChange_Teff	padj_CD8	padj_Teff	avg_log2FC_Trm1	p_val_adj_Trm1	avg_log2FC_P1	avg_log2FC_P2	avg_log2FC_P3	avg_log2FC_P4	avg_log2FC_P5	avg_log2FC_P6	avg_log2FC_P7	avg_log2FC_P8	avg_log2FC_P9	p_val_adj_P1	p_val_adj_P2	p_val_adj_P3	p_val_adj_P4	p_val_adj_P5	p_val_adj_P6	p_val_adj_P7	p_val_adj_P8	p_val_adj_P9
ARHGEF6	-0.416	0.217	0.912	0.883	0.19360933706046737	1	0.5100404319226965	NA	NA	0.3168920965389522	NA	NA	-0.3642652773500949	NA	0.16986574876379634	1	NA	NA	1	NA	NA	0.03146776552312335	NA	0.02939121082617144
ARHGEF7	-0.823	0.448	0.723	0.723	0.17583614153757723	1	0.26037650040661664	0.19084960067666815	NA	0.16162017707745752	0.20707839087532004	0.23719750507265291	-0.15443270323765224	NA	NA	1	1	NA	1	1	1	1	NA	NA
ARID4A	-0.064	0.191	0.987	0.843	0.1869259477752343	1	0.3968035149677067	NA	NA	0.28439346307551716	0.1858386721961658	0.21388078129772015	-0.3327331395637716	NA	0.16385212502697655	1	NA	NA	1	1	1	1	NA	1
ARID4B	-0.385	0.095	0.861	0.932	0.19228050414607556	1	0.28068880320241996	NA	NA	0.42590719613919703	0.14098968146162627	NA	NA	NA	0.35073300152904685	1	NA	NA	1	1	NA	NA	NA	5.53485826317917e-7
ARID5B	0.885	0.023	0.679	0.985	0.5270676535290018	1.2475243502965117e-12	1.0868325559318188	0.8539664390164454	NA	NA	0.7869589708351423	0.4511571545704187	-0.335282035997041	-0.17023450958851205	NA	0.00821118669095587	1.108491792689758e-4	NA	NA	9.514792100256736e-5	1	1	1	NA
ARIH2	-0.53	-0.475	0.853	0.665	0.18056309763376233	1	NA	NA	0.2246647878125263	NA	NA	0.36245181743258825	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
ARL4C	-0.467	-0.549	0.857	0.542	0.5153887843448963	7.358451601149042e-20	1.0932927769318743	NA	0.4680515910733214	0.8120355285138148	0.6107567952738329	0.4865417757812702	NA	0.22760028448747516	0.24313482926651275	6.797577881374103e-4	NA	1	1.0316137105177616e-10	5.672409578581187e-4	1	NA	1	0.01926600949395363
ARL6IP4	-0.786	2.048	0.918	0.532	0.18360102189532324	1	0.2597451862914224	0.2806743615961802	NA	0.21170498642655255	NA	0.35827056551789993	NA	NA	NA	1	1	NA	1	NA	1	NA	NA	NA
ARL6IP5	0.559	-0.481	0.791	0.683	0.4485299493260264	2.018926643846497e-19	0.1590488173710698	0.17191057259138853	0.3973275952618551	0.6349125195391951	0.32720443426687584	0.4272334703364335	-0.17043844718503554	NA	0.19608219496796897	1	1	1	1.5082643370506198e-7	1	1	1	NA	0.04766213108069434
ARMCX3	-0.439	-0.491	0.918	0.716	0.1908755609108216	1	0.2128252879215381	0.41863689943166066	NA	NA	NA	0.3432909824577375	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA
ARMCX6	0.334	-0.379	0.938	0.771	0.15310914677673348	1	NA	NA	0.22291458786894655	NA	0.2305335157349193	0.3565979532935531	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA
ARNTL	0.053	0.104	0.988	0.938	0.201123185703428	1	NA	NA	0.21121621567269355	0.3074091567811762	NA	0.6728390588537649	-0.544249454612246	NA	NA	NA	NA	1	1	NA	0.07139456800729777	1.0006355511595485e-6	NA	NA
ARPC5	0.777	-0.2	0.733	0.874	0.1665483315210463	1	0.2952211985041431	NA	NA	0.16868161729496123	0.35160675388673024	0.39100041719241	NA	-0.13811648005103683	0.1710486420143178	1	NA	NA	1	1	1	NA	1	1
ARRB2	0.292	-0.741	0.927	0.442	0.2020440866048161	1	0.48831645200405926	NA	NA	0.33762845062761315	NA	0.29275189315339945	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA
ARRDC2	-0.48	-0.859	0.911	0.421	0.303040134208275	0.00556355708232515	0.23842862508753335	0.32038593484211586	0.40333497171102417	0.3377661443977381	NA	0.45031536887439183	NA	NA	0.16026181262781436	1	1	1	1	NA	1	NA	NA	0.11774798182788888
ARRDC3	0.347	-0.609	0.937	0.663	-0.21028372686326924	1.0767679052272312e-4	-0.2613473999034132	-0.3930159764125568	NA	-0.3421861857606348	NA	NA	NA	NA	-0.14286682942235385	1	0.09216133438735268	NA	0.00551881966479036	NA	NA	NA	NA	1
ATAD2	0.615	0.309	0.87	0.81	0.15501599293855933	1	0.21532817073352256	NA	NA	NA	0.30808066411879864	0.3243937848788161	-0.20200357872996788	NA	0.1639858621234795	1	NA	NA	NA	1	1	1	NA	0.00115517574616782
ATE1	-0.324	-0.137	0.915	0.9	0.14814985841897438	1	NA	NA	NA	NA	0.14088484276935798	0.349571535367894	-0.454704996818755	NA	0.16462352064373031	NA	NA	NA	NA	1	1	1.1071644717431004e-5	NA	0.05100557758934991
ATF4	0.066	-0.981	0.984	0.226	0.2723640798737741	0.00577937564649515	0.4987706480644707	0.4719547354226875	0.18610299599344393	NA	0.31700104601082124	0.15290317122742558	0.1821307122791802	NA	NA	1	1	1	NA	1	1	1	NA	NA
ATF6B	-0.151	0.048	0.977	0.974	0.19824957380861835	1	0.2192059585960805	0.3207872241711765	NA	NA	NA	0.501461320594363	NA	NA	0.14722323793860836	1	1	NA	NA	NA	1	NA	NA	0.2048092696672891
ATG2A	-0.8	0.06	0.829	0.971	0.16986745210481205	1	0.7526792154451643	NA	NA	0.1931762834253768	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA
ATM	0.895	1.548	0.729	0.136	0.2962762755095135	2.697134528708617e-5	0.47163712572155647	0.2843068539151975	0.14976242262239636	0.4415834091756384	0.3722158599610882	NA	-0.27917905645764773	NA	0.19195669240860969	1	1	1	0.5931092245858574	1	NA	1	NA	0.13139096632813177
ATP1B3	0.583	-0.749	0.803	0.468	0.19506340092097776	0.4760992767384329	NA	0.46543864378527067	0.20043640252775585	NA	0.16929048519995016	0.29068702583784733	-0.3287094592981028	-0.13787152283477222	0.15769583405190413	NA	1	1	NA	1	1	0.09794784954724832	1	1
ATP2A2	0.025	1.114	0.995	0.485	0.17019263574944477	1	NA	0.18382646866854785	NA	0.30537585310038035	NA	0.25150114631011583	-0.23582077743011587	NA	0.16096732740579156	NA	1	NA	1	NA	1	1	NA	0.00139174924921378
ATP6V0B	0.706	-0.581	0.829	0.628	0.18007401635061515	0.2844945004800434	0.40879921082769166	0.20727752978534508	0.2379766218036223	NA	NA	0.6026511367546326	NA	0.24301331912023483	0.1657637684419453	1	1	1	NA	NA	0.01988506750026255	NA	1	1
ATP6V0E1	0.374	-0.742	0.853	0.457	0.16524323226887727	1	NA	0.2161195309496784	0.3045191582499407	0.14103264435669205	0.20099107117111448	0.15024092798157884	0.22102275869087307	0.14309861609712593	0.16609202140760937	NA	1	1	1	1	1	1	1	0.6473735082657286
ATP6V1A	-0.575	-0.845	0.857	0.465	0.28107425023230914	6.487925307281297e-7	0.2531872474318727	0.3693986231580716	0.3582675210961147	0.19854979680388973	0.24254802420469795	0.2187446006483701	NA	NA	NA	1	1	1	1	1	1	NA	NA	NA
ATP6V1C1	-0.981	0.455	0.796	0.667	0.1409592066937825	1	NA	0.2260145249939692	0.28746071821245744	NA	NA	NA	-0.20384171596829992	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA
ATP6V1G1	1.128	-0.764	0.558	0.449	0.18309583471000668	0.01995855870013502	0.2245797652523014	0.1688675493224041	0.17880880772259378	0.18484628533835631	-0.19033376141993497	0.6090397104692551	NA	0.14640342363025294	NA	1	1	1	1	1	1.9352124362323415e-5	NA	1	NA
ATRX	-0.196	0.304	0.953	0.779	0.3206057423708779	6.803326631940711e-6	NA	0.5950935645131963	NA	0.21244469414747336	0.3672637913805734	0.5394777885125936	-0.3770020037865529	-0.16026150685094342	0.4586323812501756	NA	1	NA	1	1	1	9.21760847213287e-4	1	1.2391792542171816e-12
ATXN1	0.676	0.37	0.778	0.729	0.25029109947651884	0.42193382785069655	0.7228399941119964	0.41070696477242863	NA	0.1846121960708258	-0.3190780144567078	0.3794990371813124	-0.19137480957088937	NA	0.15644121101741737	1	1	NA	1	1	1	1	NA	0.580601070577388
ATXN10	0.53	-0.351	0.867	0.763	0.22846498859412756	0.39504422466322153	-0.24156230939899637	NA	0.651499655350454	0.21015154346943948	0.21219827315098327	0.19338329694314949	-0.25084399380340416	NA	NA	1	NA	1	1	1	1	1	NA	NA
ATXN2	0.14	0.921	0.967	0.368	0.16741141880216082	1	0.2738666913943348	NA	NA	NA	NA	0.356591543702979	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA
B2M	0.508	-0.327	0.89	0.806	0.2603542239748906	1.26530544808865e-26	0.23595761233444976	NA	0.7444907897017385	NA	0.320790690614432	0.3326835392029448	0.1650238753127704	NA	NA	1	NA	3.66020789153586e-22	NA	5.516364022454409e-6	1.3061183984072522e-5	7.31806498362434e-5	NA	NA
