cluster	gene	Status
eTreg	MXD4	All
eTreg	SAT1	All
CTLex	SMAP2	All
CTLex	CXCL13	All
CTLex	FKBP5	All
CTLex	CCR7	All
CTLex	PRDM1	All
CTLex	TSHZ2	All
CTLex	GNLY	All
CTLex	SYTL3	All
CTLex	PASK	All
CTLex	TXNIP	All
CTLex	TSC22D3	All
CTLex	AL136454.1	All
CTLex	PMCH	All
CTLex	ZFP36L2	Strict
CTLex	DDIT4	All
CTLex	SLC1A4	All
CTLex	CCL4L2	All
CTLex	PIK3IP1	All
CTLex	HERPUD1	All
CTLex	CTLA4	All
CTLex	GABPB1-AS1	All
CTLex	SELL	All
CTLex	ANK3	All
Tmm	GNLY	All
Tmm	CPM	All
Tmm	HPGD	All
Tmm	CXCL13	All
Tmm	HLA-DPA1	All
Tmm	HLA-DPB1	All
Tmm	CTLA4	All
Tmm	LAIR2	All
Tmm	MAGEH1	All
Tmm	CXCL5	All
Tmm	LAYN	All
Tmm	KIAA0319L	All
moDC	PPP1R14A	All
moDC	CD14	All
moDC	A2M	All
moDC	VCAN	All
moDC	RNASE1	All
moDC	ITGA4	All
moDC	TNFAIP6	All
moDC	IFI27	All
moDC	DLL4	All
moDC	ZFPM2	All
moDC	LILRB4	All
moDC	HILPDA	All
moDC	THBS1	All
moDC	INSR	All
moDC	LTB	All
moDC	CCL19	All
moDC	TCFL5	All
moDC	CCL2	All
moDC	SLC2A3	All
moDC	SERPINE2	All
moDC	GZMB	All
moDC	LY75	All
moDC	WNT5B	All
moDC	BAG2	All
moDC	ACVR1C	All
moDC	TRGC1	All
moDC	TMEM150C	All
moDC	CPD	All
moDC	LRP1	All
moDC	MATN2	All
moDC	TMEM176A	All
moDC	GNLY	All
moDC	LDLR	All
moDC	AL136454.1	All
moDC	STEAP1B	All
moDC	YPEL2	All
moDC	PPA1	All
moDC	C19orf38	All
moDC	DEPP1	All
moDC	PID1	All
moDC	SLC12A8	All
moDC	GBP1	All
moDC	AQP9	All
moDC	HSPA6	All
moDC	GBP2	All
moDC	PDCL3	All
moDC	PLD1	All
moDC	MAP3K5	All
moDC	PIP5K1B	All
moDC	LST1	All
moDC	LMNB1	All
moDC	CD7	All
moDC	SLC16A7	All
moDC	C1QA	All
moDC	MANBA	All
moDC	FES	All
moDC	LGALS2	All
moDC	CD109	All
moDC	AC104695.3	All
moDC	RAB23	All
moDC	TMEM176B	All
moDC	BCL2L14	All
moDC	FGL2	All
moDC	TLR8	All
moDC	PRRG4	All
moDC	SCD	All
moDC	RRAGD	All
moDC	IL6	All
moDC	CSF2RB	All
moDC	GPR153	All
moDC	CCDC6	All
moDC	SELL	All
moDC	POU3F1	All
moDC	GNPTAB	All
moDC	IKZF1	All
moDC	RALGPS2	All
moDC	C1QB	All
moDC	SOX4	All
moDC	TMC8	All
moDC	SLAMF9	All
moDC	FLT3	All
ILC/NK	CD7	All
ILC/NK	HILPDA	All
ILC/NK	NKG7	All
ILC/NK	HLA-DPB1	All
ILC/NK	TSC22D3	All
Tcm	TXNIP	Strict
Tcm	CMSS1	All
Tcm	SYTL3	All
Tcm	TSC22D3	All
Tcm	DDIT4	All
Tcm	ZFP36L2	Strict
Tcm	FKBP5	All
Tcm	GYPC	All
Tcm	SLA	All
Tcm	SMAP2	All
Tcm	ISG20	All
Tcm	AL136454.1	All
Tcm	RCSD1	All
Tcm	CCR4	All
Tcm	GNLY	All
Tcm	PRDM1	All
Tcm	OSBPL8	All
Tcm	VSIR	All
Tcm	SH3TC1	All
Tcm	PATJ	All
Tcm	CELF2	All
Tcm	ZBTB16	All
Tcm	ACAP1	All
Tcm	HPGD	All
Tcm	FAM129A	All
Tcm	IQGAP2	All
Tcm	CD7	All
Tcm	AL357060.1	All
Tet	DCD	All
Tet	SCGB2A2	All
Tet	MUCL1	All
Tet	IGLC2	All
Tet	PIP	All
Tet	SCGB1D2	All
Tet	TXNIP	Strict
Tet	KLF2	All
Tet	AL136454.1	All
Tet	SCGB1B2P	All
Tet	AZGP1	All
Tet	TSC22D3	Strict
Tet	SMAP2	Strict
Tet	CXCL8	All
Tet	HPGD	All
Tet	GNLY	All
Tet	CCR7	All
Tet	ZBTB16	All
Tet	GYPC	All
Tet	AREG	All
Tet	RNF130	All
Tet	FKBP5	All
Tet	RCSD1	All
Tet	VSIR	All
Tet	SERPINB2	All
Tet	FES	All
Tet	FURIN	All
Tet	NBEAL1	All
Tet	MYC	All
Tet	PIK3IP1	All
Tet	PTGER2	All
Tet	CCND3	All
Tet	ISG20	All
Tet	TSHZ2	All
Tet	GIMAP1	All
Tet	GPR171	All
Tet	BTN3A2	All
Tet	KLF3	All
Trm	GNLY	All
Trm	IL2RA	All
Trm	HPGD	Strict
Trm	HAVCR2	All
Trm	C11orf96	All
Trm	GK	All
Trm	GNG4	All
Trm	GZMB	All
Trm	SMAP2	Strict
Trm	BCAT1	All
Trm	ADGRG1	Strict
Trm	TNFRSF4	All
Trm	TSHZ2	Strict
Trm	ETV7	All
Trm	IL17A	All
Trm	CPM	All
Trm	CADM1	All
Trm	NPDC1	All
Trm	SOX4	All
Trm	LYPD6B	All
Trm	ANKS1B	All
Trm	LRMP	All
Trm	GYPC	Strict
Trm	YBX3	All
Trm	MYL6B	All
Trm	TSC22D3	Strict
Trm	TNFRSF9	All
Trm	HIPK2	All
Trm	ZNF282	All
Trm	HLA-DQA1	All
Trm	TSPAN14	Strict
Trm	TNS3	All
Trm	TSPAN13	All
Trm	CTLA4	All
Trm	MSI2	All
Trm	TNFRSF18	All
Trm	GALNT2	All
Trm	SLC27A2	All
Trm	AHI1	Strict
Trm	CXCL13	All
Trm	TNIP3	All
Trm	NCAPH	All
Trm	SYTL3	Strict
Trm	TMC8	All
Trm	PPFIBP1	All
Trm	DDIT4	All
Trm	NUSAP1	All
Trm	GLCCI1	All
Trm	KIAA0319L	All
Trm	AREG	All
Trm	NINJ2	All
Trm	ST3GAL1	All
Trm	SAP30	All
Trm	AC099552.1	All
Trm	BIN1	All
Trm	FBXO32	All
Trm	MS4A6A	All
Trm	RDH10	All
Trm	AC008011.2	All
Trm	HLA-DRA	All
Trm	AL031056.1	All
Trm	S100A2	All
Trm	TRERF1	All
Trm	VDR	All
Trm	ZBTB16	All
Trm	NDFIP2	All
Trm	MKI67	All
Trm	ZMYND8	All
Trm	ADAT2	All
Trm	ATP6V1A	All
Trm	IL26	All
Trm	MT1E	All
Trm	CARS	All
Trm	HTRA3	All
Trm	METTL8	All
Trm	HLA-DQB1	All
Trm	EVA1B	All
Trm	HIST1H1D	All
Trm	MAP3K1	All
Trm	TSPAN5	All
Trm	ZNF581	All
Trm	SLA2	All
Trm	SATB1	All
Trm	ICA1	All
Trm	MCAM	All
Trm	CASS4	All
Trm	PDE3B	Strict
Trm	PDE7B	All
Trm	IL1RL1	All
Trm	ANKRD26	All
Trm	CYGB	All
Trm	HELLS	All
Trm	HIST3H2A	All
Trm	HLA-DPB1	All
Mono	MUCL1	All
Mono	MT1B	All
Mono	SLAMF9	All
Mono	VCAN	All
Mono	SLC11A1	All
Mono	KREMEN1	All
Mono	SLC1A2	All
Mono	CA12	All
Mono	S100A8	All
Mono	LILRB4	All
Mono	ADAMDEC1	All
Mono	CD163	All
Mono	C11orf96	All
Mono	ANGPTL4	All
Mono	EMP2	All
DC	CRYAB	All
DC	EREG	All
DC	MT1G	All
DC	CCL20	All
DC	PLIN2	All
DC	AKAP12	All
DC	CXCL9	All
DC	AL136454.1	All
DC	SEPT6	All
DC	HIST1H1D	All
DC	CPVL	All
DC	KCNE5	All
Mac	CTSK	All
Mac	C1QA	All
Mac	FOLR2	All
Mac	VCAN	All
Mac	S100A8	All
Mac	F13A1	All
Mac	IFI27	All
Mac	SLA	All
Mac	HILPDA	All
Mac	TRDC	All
Mac	SELENOP	All
Mast	C11orf96	All
Mast	CXCL5	All
Mast	CD7	All
Mast	IL7R	All
Mast	CD3D	All
Mast	CXCL8	All
Mast	CRYAB	All
Mast	IL32	All
Mast	DCD	All
Mast	RTKN2	All
Mast	PDK4	All
Mast	MMP1	All
Mast	IL1B	All
Mast	TIGIT	All
Mast	HLA-DRA	All
Mast	GEM	All
Mast	HTRA3	All
Mast	CCL20	All
Mast	PPBP	All
cmTreg	TXNIP	All
cmTreg	FKBP5	All
cmTreg	TNFRSF4	All
LC	RNASE1	All
LC	VAMP5	All
LC	CCL19	All
LC	FCER1A	All
LC	AL136454.1	All
LC	SLC2A3	All
LC	HILPDA	All
LC	UBD	All
LC	PRRG4	All
LC	SLC27A3	All
LC	ITGB2	All
LC	CCL17	All
LC	LGALS2	All
LC	TIMP2	All
LC	SOX4	All
LC	CXCL9	All
LC	ITGA4	All
LC	CALCA	All
LC	SH3PXD2A	All
LC	PLEK	All
LC	CDYL2	All
LC	PDCL3	All
LC	EGLN3	All
LC	PTP4A3	All
LC	DEPP1	All
LC	ZBED3	All
LC	C11orf95	All
LC	H2AFY2	All
LC	S100A3	All
LC	THBS1	All
LC	TBC1D9	All
LC	BCL2	All
LC	SYNPO2	All
LC	SLAMF9	All
LC	DENND3	All
LC	IGF2BP2	All
LC	AIF1	All
LC	ST3GAL5	All
LC	MERTK	All
LC	VSIR	All
LC	NPR1	All
LC	TNFRSF11A	All
LC	EPDR1	All
LC	CD70	All
LC	APP	All
LC	FCGR2B	All
LC	LY75	All
LC	TRABD2A	All
LC	SDS	All
LC	H2AFJ	All
