gene	ultracluster	PV	ResponderMid	NonresponderMid	AD	TResponderMid	TNonresponderMid
ZNF101	CTL	0.987	0.842	1.05	0.951	0.721	1.19
HACD4	CTL	0.983	1.23	1.083	0.763	1.141	1.13
KIAA0319L	CTL	0.981	0.337	0.961	0.839	0.119	1.2
PRKCB	CTL	0.975	0.111	0.812	1.003	-0.058	1.036
H1FX	CTL	0.973	0.596	0.184	0.84	0.528	0.137
CEP78	CTL	0.965	1.029	1.1	1.305	0.837	1.268
CPT1A	CTL	0.96	1.053	1.405	0.685	1.052	1.488
FAM214A	CTL	0.958	0.789	1.399	1.306	0.766	1.541
RNASEH2B	CTL	0.957	0.95	1.307	0.975	0.856	1.452
GALM	CTL	0.953	0.283	0.554	0.802	0.167	0.7
MIS18BP1	CTL	0.952	0.91	1.202	1.057	0.769	1.366
CEP290	CTL	0.951	0.77	1.146	1.02	0.697	1.281
PPP6R2	CTL	0.951	0.897	1.322	0.593	0.971	1.369
SP140	CTL	0.948	0.729	0.914	0.965	0.622	1.04
RFFL	CTL	0.944	0.905	1.308	0.917	0.871	1.422
ABLIM1	CTL	0.934	0.639	1.286	1.099	0.647	1.417
COA6	CTL	0.934	1.451	1.282	0.838	1.312	1.369
PIBF1	CTL	0.934	0.685	1.392	0.876	0.705	1.526
ERAP2	CTL	0.933	0.226	2.114	0.643	0.003	2.417
FAM53B	CTL	0.932	0.891	1.137	0.824	0.653	1.354
GBP1	CTL	0.932	1.071	1.266	0.979	0.98	1.383
BTN3A3	CTL	0.928	0.533	1.535	0.795	0.45	1.752
CASP8AP2	CTL	0.927	0.812	1.125	0.862	0.701	1.274
IPCEF1	CTL	0.926	0.837	1.252	0.915	0.889	1.312
LIMS1	CTL	0.926	0.256	0.89	0.788	0.171	1.068
PRR5L	CTL	0.924	1.236	1.446	0.917	1.085	1.605
CPOX	CTL	0.923	0.528	1.427	1.07	0.323	1.68
ZCRB1	CTL	0.922	0.81	0.729	0.541	0.748	0.766
ARHGEF1	CTL	0.919	0.951	1.295	0.934	0.94	1.384
L3MBTL3	CTL	0.916	0.938	1.791	0.625	0.85	1.995
BBIP1	CTL	0.915	0.941	0.867	0.748	0.949	0.839
NSF	CTL	0.904	0.614	1.602	0.806	0.49	1.832
CYTOR	CTL	0.903	0.761	1.042	0.593	0.806	1.075
PCED1B	CTL	0.903	0.975	1.428	0.761	0.898	1.577
TRAF3	CTL	0.902	0.522	1.33	1.043	0.442	1.525
MCRIP1	CTL	0.897	0.948	0.336	0.763	0.743	0.4
HMGA1	CTL	0.894	0.678	0.892	0.56	0.6	1.002
ODF2L	CTL	0.891	0.422	0.755	0.665	0.383	0.86
IDH2	CTL	0.89	0.741	0.756	0.759	0.528	0.932
NAA50	CTL	0.887	0.787	1.28	0.644	0.574	1.506
FAM200B	CTL	0.885	0.976	1.017	0.427	1.119	0.886
RIF1	CTL	0.885	0.828	1.154	1.079	0.671	1.333
OTULIN	CTL	0.883	0.938	1.265	1.088	0.878	1.383
SLAMF6	CTL	0.883	0.866	1.38	0.932	0.802	1.53
PPIP5K2	CTL	0.88	1.099	1.329	1.003	1.058	1.416
STAT1	CTL	0.88	1.273	1.246	0.994	1.06	1.416
HIST1H1E	CTL	0.876	-0.463	1.236	0.805	-0.391	1.466
SASH3	CTL	0.876	1.06	1.329	0.903	1.009	1.43
SH2D1A	CTL	0.874	1.122	1.742	0.701	1.038	1.917
C1orf21	CTL	0.872	0.828	1.177	0.311	0.762	1.303
TRAF3IP3	CTL	0.87	0.685	1.091	0.651	0.64	1.213
F2R	CTL	0.862	0.833	1.372	0.558	0.716	1.554
TMEM238	CTL	0.862	0.762	0.73	1.049	0.837	0.645
GBP3	CTL	0.858	0.99	1.283	1.123	0.799	1.478
HNRNPLL	CTL	0.854	0.473	1.018	0.553	0.549	1.089
CPSF2	CTL	0.852	0.894	1.295	0.805	0.872	1.402
PLEKHJ1	CTL	0.849	0.231	0.562	0.557	0.217	0.649
SH3KBP1	CTL	0.847	0.742	1.247	0.633	0.623	1.426
XRN1	CTL	0.842	0.904	1.346	0.973	0.745	1.539
CHCHD5	CTL	0.839	0.728	0.864	0.464	0.839	0.8
DTHD1	CTL	0.835	0.639	1.494	1.012	0.643	1.657
MYSM1	CTL	0.835	1.018	1.49	1.228	0.983	1.616
ERN1	CTL	0.829	0.325	0.942	0.672	0.214	1.13
FAM192A	CTL	0.828	0.862	1.068	0.623	0.828	1.145
CLDND1	CTL	0.826	0.891	1.512	0.713	0.856	1.661
PGLS	CTL	0.826	0.672	0.622	0.386	0.641	0.638
C1orf131	CTL	0.825	0.734	0.95	0.346	0.827	0.927
TMEM107	CTL	0.825	0.549	0.954	0.653	0.658	0.969
PDE3B	CTL	0.823	0.313	1.061	0.907	0.276	1.229
ZBTB38	CTL	0.822	0.379	1.074	0.882	0.279	1.266
NUDT1	CTL	0.818	0.748	0.775	0.539	0.784	0.749
MBD2	CTL	0.817	0.524	0.802	0.915	0.364	0.976
BTN3A1	CTL	0.816	0.486	0.901	0.596	0.489	0.994
GIMAP1	CTL	0.816	0.112	0.42	0.644	0.062	0.528
ATAD2	CTL	0.814	0.875	1.049	0.937	0.767	1.173
TULP4	CTL	0.812	0.76	1.292	0.725	0.655	1.467
ZNF92	CTL	0.812	0.659	0.817	0.505	0.697	0.825
RAPGEF1	CTL	0.808	0.532	1.024	0.719	0.368	1.225
SSBP4	CTL	0.808	0.26	0.438	0.647	0.099	0.6
TMEM245	CTL	0.802	0.753	1.113	0.932	0.807	1.159
KRIT1	CTL	0.801	0.617	0.948	0.716	0.64	1.01
NCOA7	CTL	0.799	1.007	0.938	0.789	1	0.927
YARS	CTL	0.799	0.636	1.097	0.867	0.556	1.248
ATP5MC2	CTL	0.797	0.86	0.771	0.584	0.912	0.691
SENP7	CTL	0.797	0.962	1.204	0.677	0.925	1.291
ALKBH7	CTL	0.796	0.38	0.66	0.403	0.421	0.697
GGA2	CTL	0.795	0.915	1.219	0.588	0.72	1.417
BPTF	CTL	0.794	0.546	0.954	1.166	0.428	1.12
DCP2	CTL	0.794	0.577	1.115	0.762	0.469	1.292
CASP3	CTL	0.793	0.605	1.405	0.92	0.484	1.617
NFATC2	CTL	0.793	0.675	1.221	0.994	0.508	1.429
ZNF720	CTL	0.79	0.631	0.787	0.651	0.541	0.896
TRIM38	CTL	0.789	0.685	0.748	1.116	0.556	0.87
ZNRF2	CTL	0.788	0.814	0.686	0.784	0.639	0.812
MAN2A1	CTL	0.787	0.665	1.059	0.98	0.464	1.269
RPAP3	CTL	0.787	1.728	1.58	0.53	1.589	1.671
CNTRL	CTL	0.786	0.836	1.016	1.056	0.737	1.136
DYRK2	CTL	0.785	0.974	0.973	0.831	0.76	1.147
FMR1	CTL	0.783	1.064	1.232	0.852	1.112	1.234
ABI3	CTL	0.781	0.586	0.394	0.584	0.395	0.523
SESN3	CTL	0.778	1.102	1.131	1.416	0.978	1.243
GPATCH11	CTL	0.773	1.132	1.184	0.611	0.971	1.327
PUS7L	CTL	0.771	0.56	0.847	0.889	0.574	0.906
SMARCE1	CTL	0.771	1.006	1.227	0.669	0.959	1.317
UHRF2	CTL	0.769	0.576	0.99	1.019	0.467	1.151
ZNF644	CTL	0.769	0.549	1.04	0.848	0.517	1.168
DPP8	CTL	0.768	0.725	1.274	0.757	0.614	1.455
WBP4	CTL	0.768	0.853	0.756	0.502	0.785	0.795
MGAT4A	CTL	0.767	0.295	1.511	0.482	0.213	1.746
SLA2	CTL	0.767	0.119	0.607	0.438	-0.051	0.811
KIF2A	CTL	0.766	0.849	1	0.547	0.786	1.088
ZNF217	CTL	0.764	0.813	1.329	0.931	0.686	1.514
FGD3	CTL	0.759	1.219	1.308	0.519	1.264	1.291
FBXW11	CTL	0.756	0.995	1.036	0.604	0.911	1.119
RASGRP1	CTL	0.756	0.796	1.002	0.803	0.632	1.17
PTPN4	CTL	0.754	0.725	0.975	0.609	0.604	1.121
UBTF	CTL	0.754	0.674	0.891	0.936	0.573	1.018
TMX3	CTL	0.753	0.489	0.836	0.763	0.44	0.95
FAM208A	CTL	0.752	0.859	1.225	1.152	0.716	1.401
NAP1L4	CTL	0.752	0.751	1.008	0.588	0.781	1.048
USP28	CTL	0.75	0.335	0.934	0.77	0.26	1.101
TRAPPC10	CTL	0.749	0.672	0.939	0.6	0.534	1.098
CCSER2	CTL	0.748	0.406	1.228	0.422	0.388	1.397
SEM1	CTL	0.748	1.051	0.884	0.496	1.03	0.857
TUT4	CTL	0.746	0.486	0.968	0.687	0.448	1.098
RAD21	CTL	0.745	0.824	1.087	0.879	0.683	1.247
USF3	CTL	0.745	0.897	1.47	0.971	0.776	1.658
WNK1	CTL	0.744	0.383	1.068	0.911	0.251	1.274
ANKRD36C	CTL	0.74	0.342	0.646	1.637	0.242	0.787
FAAP20	CTL	0.74	0.768	0.773	0.815	0.832	0.712
GZMM	CTL	0.739	0.757	0.735	0.896	0.51	0.93
KIF20B	CTL	0.739	0.892	0.983	0.811	0.666	1.177
CARS	CTL	0.737	0.446	1.037	0.587	0.326	1.227
MZT2A	CTL	0.737	0.638	0.561	0.67	0.514	0.653
SLC5A3	CTL	0.735	0.926	1.471	1.295	0.958	1.57
GALNT2	CTL	0.731	-0.366	1.579	0.551	-0.061	1.772
PAK2	CTL	0.73	0.633	0.932	0.581	0.561	1.054
APOBEC3C	CTL	0.728	1.095	0.682	0.856	1.024	0.637
VPS13C	CTL	0.724	0.623	1.22	0.958	0.587	1.367
GPR155	CTL	0.721	0.792	1.051	0.963	0.79	1.115
MARF1	CTL	0.721	1.191	1.192	0.777	1.153	1.227
MDM2	CTL	0.721	0.518	1.088	0.878	0.508	1.216
KDM7A	CTL	0.72	0.665	1.364	0.923	0.62	1.53
TMPO	CTL	0.72	0.501	1.087	0.599	0.436	1.248
CUL5	CTL	0.719	0.611	0.73	0.894	0.458	0.878
ETFB	CTL	0.718	0.729	0.373	0.526	0.828	0.121
UBLCP1	CTL	0.717	0.716	1.206	0.428	0.813	1.252
THEMIS	CTL	0.715	0.811	1.735	0.659	0.721	1.946
APOL6	CTL	0.714	1.019	1.298	0.709	0.889	1.453
BCL11B	CTL	0.714	0.837	1.023	0.814	0.757	1.13
LINC01943	CTL	0.714	0.744	0.738	0.37	0.816	0.665
SPATA13	CTL	0.711	0.718	0.96	0.96	0.597	1.105
AL133453.1	CTL	0.71	0.665	0.535	0.914	0.591	0.572
CD2	CTL	0.709	1.322	1.306	0.456	1.194	1.414
ZRANB2	CTL	0.709	0.922	0.766	0.545	0.884	0.761
CARD16	CTL	0.708	1.233	0.925	0.478	1.126	0.951
CTCF	CTL	0.707	0.647	0.913	0.858	0.614	1.002
PAXBP1	CTL	0.706	0.301	0.984	0.967	0.196	1.176
EFR3A	CTL	0.705	0.375	0.717	0.67	0.287	0.855
DBF4	CTL	0.704	1.017	0.942	0.618	0.93	1.003
GTPBP8	CTL	0.703	0.648	0.785	0.62	0.498	0.933
NOL8	CTL	0.703	0.306	0.884	0.741	0.208	1.06
PPP1R14B	CTL	0.703	0.497	0.605	0.291	0.404	0.708
UFL1	CTL	0.7	0.38	0.623	0.667	0.351	0.704
AAK1	CTL	0.699	0.964	0.904	0.704	0.941	0.91
UTRN	CTL	0.699	0.3	0.67	1.138	0.198	0.821
LPGAT1	CTL	0.697	0.276	0.747	0.818	0.166	0.917
SP140L	CTL	0.696	0.806	0.649	0.786	0.667	0.74
TBC1D10C	CTL	0.696	0.332	0.292	0.395	0.32	0.293
NLRC3	CTL	0.694	0.609	0.886	1.246	0.672	0.905
KLRB1	CTL	0.692	1.287	0.091	0.302	1.044	0.064
DOCK8	CTL	0.691	0.379	0.892	0.696	0.309	1.045
ARAP2	CTL	0.69	0.754	1.265	0.922	0.47	1.525
NEPRO	CTL	0.69	0.464	1.163	0.738	0.255	1.404
SNRNP35	CTL	0.69	0.86	0.822	0.496	0.899	0.772
NCBP3	CTL	0.689	0.973	1.115	0.759	0.883	1.222
TRIP12	CTL	0.689	0.769	1.165	1.02	0.614	1.35
KIAA1551	CTL	0.686	0.713	1.418	0.837	0.578	1.627
GABPB1-AS1	CTL	0.683	-0.164	0.75	0.132	-0.271	0.968
BTG3	CTL	0.682	0.88	0.886	0.604	0.778	0.976
EPS15	CTL	0.682	0.485	0.907	0.722	0.516	0.982
MAN1A2	CTL	0.682	0.408	0.731	0.915	0.299	0.88
S100PBP	CTL	0.682	0.634	1.06	0.793	0.666	1.136
GIMAP2	CTL	0.681	0.381	0.709	0.662	0.317	0.83
POM121C	CTL	0.681	0.418	0.796	0.657	0.334	0.938
PYCARD	CTL	0.68	0.618	0.778	0.385	0.738	0.713
GIMAP4	CTL	0.678	0.424	0.651	0.498	0.287	0.803
KAT6B	CTL	0.678	0.624	0.817	0.542	0.506	0.952
ZNF506	CTL	0.677	0.313	1.046	0.694	0.304	1.199
IRF2	CTL	0.676	0.817	0.897	0.448	0.786	0.945
GSPT1	CTL	0.675	0.305	0.595	0.654	0.225	0.72
KMT5B	CTL	0.675	0.521	1.037	0.789	0.522	1.149
TTC39C	CTL	0.674	0.758	1.211	0.765	0.73	1.331
YBX3	CTL	0.674	-0.142	0.046	1.193	-0.337	0.231
B3GNT2	CTL	0.673	0.663	1.235	0.631	0.7	1.336
ATXN7L3B	CTL	0.672	0.58	0.771	0.661	0.506	0.874
RC3H2	CTL	0.672	0.932	1.341	1.019	0.921	1.442
MARK2	CTL	0.67	-0.048	0.454	0.764	-0.145	0.62
BCL9L	CTL	0.668	0.785	0.83	0.783	0.707	0.908
RBM33	CTL	0.667	0.509	0.81	1.025	0.471	0.909
SUZ12	CTL	0.667	0.611	0.792	0.796	0.483	0.932
TANK	CTL	0.667	0.542	1.173	0.622	0.379	1.387
RCSD1	CTL	0.665	-0.063	0.222	0.56	-0.27	0.425
CPNE7	CTL	0.662	0.616	0.703	0.193	0.912	0.41
DECR1	CTL	0.662	0.509	0.68	0.421	0.58	0.663
NT5DC1	CTL	0.661	0.333	0.24	0.333	0.238	0.304
RBM28	CTL	0.661	0.813	0.833	0.484	0.689	0.943
PKN1	CTL	0.659	0.403	0.268	0.521	0.257	0.368
RNPEPL1	CTL	0.659	0.508	-0.162	0.49	0.329	-0.144
LZIC	CTL	0.658	0.803	0.937	0.604	0.834	0.945
SEPT1	CTL	0.658	0.481	0.586	0.55	0.456	0.635
TPP2	CTL	0.658	0.621	1.195	0.736	0.58	1.341
PACS1	CTL	0.657	0.5	0.89	0.875	0.478	0.994
ETS1	CTL	0.655	0.938	1.064	0.54	0.93	1.103
SAMD9	CTL	0.655	0.917	0.975	0.785	0.801	1.086
GPR183	CTL	0.654	0.94	1.214	0.519	0.828	1.358
CSNK1G2	CTL	0.653	0.129	0.269	0.822	-0.023	0.42
TMF1	CTL	0.652	0.22	0.761	0.778	0.118	0.935
DIDO1	CTL	0.651	0.669	0.906	0.967	0.494	1.084
KMT2B	CTL	0.649	0.112	0.017	0.816	-0.057	0.143
ZNF638	CTL	0.649	0.464	1.029	0.884	0.34	1.217
HIST1H1D	CTL	0.648	-0.142	1.293	0.723	0.065	1.453
STAT5B	CTL	0.647	0.458	0.85	0.818	0.201	1.09
ACTR6	CTL	0.646	0.598	0.932	0.234	0.652	0.973
C8orf59	CTL	0.646	0.943	0.811	0.236	1.003	0.706
SMG6	CTL	0.645	0.061	0.622	0.836	-0.047	0.802
NAA38	CTL	0.644	1.129	0.739	0.278	1.112	0.634
BRD7	CTL	0.643	0.678	0.575	0.523	0.558	0.66
SIK3	CTL	0.642	0.782	0.884	1.04	0.654	1.011
GOLGA4	CTL	0.641	0.329	0.637	1.075	0.154	0.824
FYB1	CTL	0.64	0.825	1.011	0.919	0.667	1.171
FAM76B	CTL	0.639	0.713	1.031	0.839	0.576	1.197
SCAF11	CTL	0.639	1.006	0.927	0.765	0.891	1.011
CTSS	CTL	0.638	0.976	0.726	0.471	0.89	0.744
CAMK4	CTL	0.637	0.564	1.001	0.874	0.677	1.022
MAP2K2	CTL	0.637	0.074	0.235	0.66	0.059	0.288
R3HDM1	CTL	0.637	0.211	1.014	0.533	0.242	1.157
USP48	CTL	0.637	0.363	0.973	0.954	0.352	1.108
EED	CTL	0.635	0.558	0.857	0.61	0.493	0.974
STAMBP	CTL	0.634	0.473	1.064	0.434	0.454	1.201
CUL3	CTL	0.633	0.139	0.624	0.626	-0.063	0.843
PTPRA	CTL	0.633	0.697	0.654	0.458	0.717	0.621
RBM26	CTL	0.633	0.778	0.84	0.932	0.658	0.955
ACOT13	CTL	0.632	0.78	0.845	0.474	0.87	0.778
KMT2A	CTL	0.631	0.431	0.858	1.121	0.263	1.055
VEGFB	CTL	0.631	0.545	0.424	0.363	0.544	0.389
TRIM56	CTL	0.63	0.517	0.557	0.818	0.535	0.551
USP7	CTL	0.629	0.419	0.717	0.773	0.191	0.934
HP1BP3	CTL	0.628	0.416	0.85	0.676	0.352	0.988
IKZF3	CTL	0.628	0.704	0.981	0.562	0.586	1.129
SAMD3	CTL	0.627	1.115	1.349	0.678	0.978	1.503
ASCC3	CTL	0.626	0.752	0.806	0.843	0.573	0.963
PIK3R1	CTL	0.626	0.243	0.355	0.408	0.086	0.504
REV3L	CTL	0.626	0.699	0.967	1.086	0.543	1.138
TBC1D2B	CTL	0.625	0.358	1.102	0.86	0.174	1.336
ATXN1	CTL	0.623	0.641	1.239	0.886	0.456	1.461
CXCR6	CTL	0.623	0.153	0.343	0.181	0.038	0.475
CLIP1	CTL	0.622	0.375	0.701	1.157	0.23	0.872
ERBIN	CTL	0.622	0.229	0.744	0.947	0.222	0.861
LRRC58	CTL	0.621	0.658	0.681	1.083	0.601	0.738
NCOA1	CTL	0.621	0.367	0.847	0.885	0.196	1.051
TRIM22	CTL	0.621	0.943	1.239	0.533	0.687	1.47
