gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	pct.diff
RPL9	0	0.7139803893342732	0.6379837973325682	0.98	0.912	0	0	0.06799999999999995
RPL23A	0	0.7128486438440907	0.6764331090070241	0.978	0.885	0	0	0.09299999999999997
RPL22	0	0.7118185764715058	0.6895279101349536	0.948	0.846	0	0	0.10199999999999998
RPL12	0	0.7114236406792089	0.6493196547841533	0.975	0.902	0	0	0.07299999999999995
RPL18	0	0.7110393476428419	0.6070524323597271	0.982	0.912	0	0	0.06999999999999995
LTB	0	0.7106529082045716	1.3709197351435107	0.592	0.194	0	0	0.39799999999999996
RPL39	0	0.710575877443973	0.6568289720097056	0.98	0.914	0	0	0.06599999999999995
RPS13	0	0.7098196002740438	0.6327023093427524	0.976	0.902	0	0	0.07399999999999995
RACK1	0	0.7069733300071105	0.6136783489620976	0.968	0.872	0	0	0.09599999999999997
RPL26	0	0.7069517113977483	0.6018796265574196	0.984	0.918	0	0	0.06599999999999995
RPL37	0	0.706137467230126	0.6770592710101653	0.975	0.903	0	0	0.07199999999999995
RPS15A	0	0.705760081606162	0.6081985953385418	0.983	0.91	0	0	0.07299999999999995
RPS3	0	0.7051772105484441	0.6278127513492784	0.985	0.911	0	0	0.07399999999999995
RPS12	0	0.7048091638827166	0.6935022643641169	0.988	0.931	0	0	0.05699999999999994
IKZF3	0	0.7030086727965589	1.2262801154915488	0.582	0.19	0	0	0.39199999999999996
RPL29	0	0.7025439222972473	0.6354440736949245	0.97	0.887	0	0	0.08299999999999996
ARHGDIB	0	0.7024560314910938	0.8677078622631909	0.772	0.409	0	0	0.36300000000000004
TPT1	0	0.7019968919194117	0.5555875368305943	0.992	0.95	0	0	0.04200000000000004
RPS25	0	0.701875402982192	0.6183459126801676	0.973	0.897	0	0	0.07599999999999996
ZFP36L2	0	0.7013645041226558	0.9084310111968636	0.846	0.524	0	0	0.32199999999999995
TRBC2	0	0.7012582109532449	0.9803383858703496	0.735	0.347	0	0	0.388
RPS3A	0	0.7009661745361521	0.6298586249769063	0.981	0.914	0	0	0.06699999999999995
RPL10A	0	0.7009343280292037	0.690055145680986	0.943	0.802	0	0	0.1409999999999999
CD2	0	0.7000228136963067	0.6711851638472797	0.798	0.355	0	0	0.44300000000000006
RPS14	0	0.6998913261994612	0.604325853493453	0.986	0.922	0	0	0.06399999999999995
RPL14	0	0.6995844684720183	0.5963804551695278	0.979	0.892	0	0	0.08699999999999997
RPS15	0	0.6979373004819838	0.5491302259818793	0.986	0.919	0	0	0.06699999999999995
ETS1	0	0.6960529116836512	0.8912970547775576	0.744	0.41	0	0	0.334
RPS27A	0	0.694367023521592	0.5686953144206184	0.989	0.934	0	0	0.05499999999999994
RPS21	0	0.694174115111055	0.6778569680928417	0.957	0.856	0	0	0.10099999999999998
RORA	0	0.6940695259118995	1.0201190737205303	0.586	0.21	0	0	0.376
RPL27	0	0.6933525897928744	0.6212582951148757	0.948	0.848	0	0	0.09999999999999998
RPL36	0	0.6932886541938432	0.6206744164453788	0.97	0.89	0	0	0.07999999999999996
RPS19	0	0.6924439200658956	0.5620423202342737	0.991	0.928	0	0	0.06299999999999994
RPLP2	0	0.6918236066789752	0.5903958300570977	0.981	0.913	0	0	0.06799999999999995
RPS4X	0	0.6911674560888064	0.5935627966005654	0.985	0.915	0	0	0.06999999999999995
RPL41	0	0.6909365540628095	0.5365205768377503	0.993	0.947	0	0	0.04600000000000004
NACA	0	0.6896922617778318	0.5310247917503448	0.967	0.893	0	0	0.07399999999999995
RPS8	0	0.6893330132139854	0.6038782351513294	0.978	0.902	0	0	0.07599999999999996
RPL15	0	0.6872794211343579	0.49570920061311163	0.984	0.918	0	0	0.06599999999999995
BATF	0	0.6871683664149697	1.077688243182971	0.603	0.267	0	0	0.33599999999999997
RPL10	0	0.6868007811225512	0.5451499043791834	0.993	0.944	0	0	0.049000000000000044
RPL27A	0	0.6866454702309657	0.5925428782085076	0.969	0.883	0	0	0.08599999999999997
RPS28	0	0.6859609935254868	0.5925011383862735	0.975	0.906	0	0	0.06899999999999995
RPL38	0	0.6856885663431862	0.6467998523677627	0.943	0.849	0	0	0.09399999999999997
PPP2R5C	0	0.684264410038394	0.7343198562707851	0.795	0.527	0	0	0.268
RPL24	0	0.6808002683003338	0.5106054291377395	0.966	0.889	0	0	0.07699999999999996
RPS11	0	0.6801743147940466	0.5402738808605201	0.962	0.881	0	0	0.08099999999999996
LDHB	0	0.6787326213882701	0.8535796723363542	0.642	0.328	0	0	0.314
RPL35	0	0.6784317954409972	0.5483349968020126	0.966	0.871	0	0	0.09499999999999997
NOP53	0	0.6775000200044322	0.7375483407269534	0.777	0.572	0	0	0.20500000000000007
RPL6	0	0.6772670955365168	0.5333498667302514	0.971	0.899	0	0	0.07199999999999995
EEF1A1	0	0.6768831541197198	0.4626487433563069	0.995	0.947	0	0	0.04800000000000004
CD3D	0	0.6768721960690511	0.5675911777442719	0.76	0.346	0	0	0.41400000000000003
RPS9	0	0.6762272762055525	0.5409939538447279	0.972	0.892	0	0	0.07999999999999996
RNF213	0	0.6749107037405738	0.858421074783136	0.753	0.532	0	0	0.22099999999999997
EEF1D	0	0.6747639771978202	0.587990593687767	0.908	0.786	0	0	0.122
PBXIP1	0	0.6744376877237452	0.9802451201932677	0.541	0.223	0	0	0.31800000000000006
RPL37A	0	0.6744209039733843	0.5418013971316595	0.973	0.899	0	0	0.07399999999999995
RPL5	0	0.6734053608387679	0.5135618508964681	0.963	0.865	0	0	0.09799999999999998
RPS5	0	0.6733771477140629	0.5619909380801875	0.956	0.849	0	0	0.10699999999999998
CD52	0	0.6731032822242983	0.7986668229173635	0.669	0.334	0	0	0.335
RPS23	0	0.6729284459567304	0.5179068022956788	0.979	0.911	0	0	0.06799999999999995
IKZF1	0	0.672668246995349	0.7956690121262879	0.696	0.416	0	0	0.27999999999999997
RPL4	0	0.6713266908390028	0.6061600227310593	0.895	0.74	0	0	0.15500000000000003
CD3E	0	0.6707665471971264	0.7270342098456446	0.617	0.261	0	0	0.356
RPS10	0	0.670276400425898	0.6001769481957449	0.944	0.859	0	0	0.08499999999999996
RNASET2	0	0.6670205144594147	0.9357632556086553	0.535	0.233	0	0	0.30200000000000005
UQCRB	0	0.6666000004113937	0.61329185166871	0.853	0.728	0	0	0.125
RPL35A	0	0.6656035975256308	0.47773858166693284	0.977	0.912	0	0	0.06499999999999995
RPL7	0	0.6647671738117326	0.4736232062602532	0.954	0.859	0	0	0.09499999999999997
GMFG	0	0.6646074635395256	0.6896119174800897	0.702	0.416	0	0	0.286
TSC22D3	0	0.6635927026475599	0.7402100182654783	0.729	0.45	0	0	0.27899999999999997
EVL	0	0.6629048844172681	0.8290178556962282	0.544	0.223	0	0	0.32100000000000006
TOMM7	0	0.6626216450231011	0.6445797438456755	0.804	0.655	0	0	0.14900000000000002
RPS20	0	0.6617563331180815	0.5132640299416202	0.954	0.879	0	0	0.07499999999999996
RPL31	0	0.6613871683548701	0.5857043126997992	0.908	0.785	0	0	0.123
FAU	0	0.6613611559394893	0.397899744157062	0.984	0.924	0	0	0.05999999999999994
NPM1	0	0.6609188809199379	0.49046142305048335	0.898	0.752	0	0	0.14600000000000002
ARID5B	0	0.6606156248654386	0.7460417634651599	0.652	0.383	0	0	0.269
PTMA	0	0.6595343064529254	0.3931554366932817	0.991	0.922	0	0	0.06899999999999995
PDCD4	0	0.6565748380617988	0.8549668269623527	0.639	0.382	0	0	0.257
RPL7A	0	0.656480409565286	0.4377632890801806	0.976	0.903	0	0	0.07299999999999995
ERP29	0	0.6555621763974095	0.6902048414529229	0.641	0.386	0	0	0.255
EPB41	0	0.6554446354178683	0.787181389193196	0.542	0.243	0	0	0.29900000000000004
RPL8	0	0.6552731835336187	0.42705997458907596	0.98	0.909	0	0	0.07099999999999995
LCK	0	0.6549235373729477	0.7319684677331519	0.563	0.253	0	0	0.30999999999999994
BCL11B	0	0.6545394612066121	0.8386262590934914	0.456	0.147	0	0	0.30900000000000005
UBA52	0	0.6540106743458252	0.4285882687029119	0.965	0.897	0	0	0.06799999999999995
CD37	0	0.6530708632691812	0.6876836484663766	0.587	0.303	0	0	0.284
CAMK4	0	0.6528690859053597	0.8623214861285232	0.445	0.141	0	0	0.30400000000000005
ANP32B	0	0.6522525781139497	0.6847777678331635	0.684	0.49	0	0	0.19400000000000006
ANKRD12	0	0.6521019190785445	0.6581523737765935	0.812	0.674	0	0	0.138
EMB	0	0.6519290149203529	0.7446382740025279	0.549	0.251	0	0	0.29800000000000004
CD3G	0	0.6516517033070455	0.5130141400903943	0.609	0.266	0	0	0.34299999999999997
CD247	0	0.6485503857310202	0.7698639527278501	0.505	0.21	0	0	0.29500000000000004
EIF3E	0	0.6483342611378544	0.6736316778452736	0.694	0.52	0	0	0.17399999999999993
SEPT6	0	0.6478598225183568	0.7842827333808147	0.536	0.266	0	0	0.27
RPL23	0	0.6471209869618607	0.4422374001099274	0.92	0.831	0	0	0.08900000000000008
EML4	0	0.6470860251510776	0.6616342180247881	0.607	0.329	0	0	0.27799999999999997
KDSR	0	0.6469190675955229	0.8242145948227892	0.512	0.255	0	0	0.257
CNOT6L	0	0.6459543691542499	0.7108525860002988	0.599	0.338	0	0	0.26099999999999995
COMMD6	0	0.6458893771979594	0.6403007049440543	0.686	0.498	0	0	0.18800000000000006
NR3C1	0	0.645712347653871	0.7716632461895534	0.662	0.466	0	0	0.196
IFI16	0	0.6455374160785777	0.6477361572956468	0.645	0.386	0	0	0.259
TSHZ2	0	0.6441361872759082	1.1151688158421154	0.339	0.055	0	0	0.28400000000000003
SMCHD1	0	0.6434148873817892	0.8006614041621756	0.635	0.436	0	0	0.199
COX7C	0	0.6432507792874519	0.4895372898478687	0.866	0.756	0	0	0.10999999999999999
RASGRP1	0	0.6425724465735025	0.7157585106804033	0.493	0.207	0	0	0.28600000000000003
PIK3IP1	0	0.6424486694716308	0.7143218808857609	0.498	0.216	0	0	0.28200000000000003
AES	0	0.6421188090748406	0.639203661248219	0.659	0.47	0	0	0.18900000000000006
RPL36A	0	0.6420034357766006	0.5983928722322567	0.817	0.671	0	0	0.1459999999999999
GIMAP7	0	0.6417559692080108	0.7514179993171761	0.552	0.273	0	0	0.279
EEF2	0	0.6397338214247426	0.5282713357105795	0.82	0.688	0	0	0.132
MBP	0	0.6395761201674538	0.578094281997074	0.72	0.511	0	0	0.20899999999999996
CLEC2D	0	0.6392973545418874	0.5726047317162499	0.655	0.379	0	0	0.276
ITK	0	0.6382252040731831	0.7802681347794864	0.404	0.131	0	0	0.273
RPS26	0	0.6369550450917428	0.5002788047347209	0.931	0.851	0	0	0.08000000000000007
TXNIP	0	0.6337845265544882	0.8107281304857485	0.73	0.561	0	0	0.16899999999999993
NAP1L4	0	0.6337564388883172	0.6821887415682595	0.609	0.416	0	0	0.193
HLA-A	0	0.6324881218035951	0.4436803020902662	0.985	0.876	0	0	0.10899999999999999
BTF3	0	0.6323285490382572	0.41557387591653194	0.892	0.792	0	0	0.09999999999999998
PFDN5	0	0.63166693210047975	0.40101480898866937	0.927	0.845	0	0	0.08200000000000007
GSTK1	0	0.6308856108176817	0.7109504776515437	0.47	0.233	0	0	0.23699999999999996
MFHAS1	0	0.6304409174994711	0.9025676140275911	0.373	0.126	0	0	0.247
MZT2B	0	0.6301633848201945	0.5409529276773093	0.655	0.471	0	0	0.18400000000000005
CXCR6	0	0.6291082294572218	0.8926907088396506	0.394	0.139	0	0	0.255
TRBC1	0	0.6281739953810548	0.7904246061553273	0.513	0.261	0	0	0.252
TTC39C	0	0.6280209099548252	0.7376205433768165	0.426	0.178	0	0	0.248
RPS7	0	0.6271306945607878	0.3436922897022541	0.97	0.905	0	0	0.06499999999999995
EIF3K	0	0.6257938726808248	0.4596666435079608	0.755	0.624	0	0	0.131
TMA7	0	0.6256990269882315	0.41791971210061707	0.836	0.738	0	0	0.09799999999999998
SOD1	0	0.6250841962531344	0.4685972245908938	0.757	0.623	0	0	0.134
KIAA1551	0	0.6239962043217679	0.4720178207921568	0.656	0.438	0	0	0.21800000000000003
NAP1L1	0	0.6235387289788181	0.4430785730263347	0.806	0.677	0	0	0.129
MAF	0	0.6231000233834327	0.8293172940149756	0.358	0.116	0	0	0.242
PHACTR2	0	0.6226239194562475	0.7880001722812454	0.433	0.216	0	0	0.217
CCR4	0	0.6225213219487822	0.8515725996920084	0.288	0.044	0	0	0.244
FAM129A	0	0.6218810411138832	0.5612793141624759	0.688	0.501	0	0	0.18699999999999994
OCIAD2	0	0.6217621643276392	0.5917769011423635	0.468	0.227	0	0	0.24100000000000002
RPL17	0	0.6215087337133007	0.5501906705050326	0.698	0.552	0	0	0.1459999999999999
APRT	0	0.6208329348061781	0.5259526622261783	0.625	0.454	0	0	0.17099999999999999
TIGIT	0	0.6202483992200182	1.2579955293352856	0.389	0.163	0	0	0.226
TNFRSF25	0	0.6195376964060512	0.7427859786919432	0.313	0.079	0	0	0.23399999999999999
S1PR4	0	0.619007985419981	0.5963414729949349	0.429	0.19	0	0	0.239
EIF3F	0	0.6188859545474504	0.5340019852349001	0.628	0.485	0	0	0.14300000000000002
EEF1B2	0	0.6180807462714868	0.44800767749710824	0.853	0.74	0	0	0.11299999999999999
MZT2A	0	0.617238392858586	0.5894870141409582	0.492	0.29	0	0	0.202
IFITM2	0	0.6164288456235022	0.28850912726591194	0.757	0.511	0	0	0.246
TOMM20	0	0.6159382435331034	0.49352337260997214	0.667	0.533	0	0	0.134
PRDX2	0	0.6158006734852431	0.5858445201150551	0.462	0.247	0	0	0.21500000000000002
GCC2	0	0.6157449572484155	0.5526561164798567	0.615	0.453	0	0	0.16199999999999998
RCAN3	0	0.6146755490646942	0.7239680683871428	0.381	0.177	0	0	0.20400000000000001
SLFN5	0	0.6139884178892119	0.5660173167245133	0.581	0.39	0	0	0.19099999999999995
CDKN1B	0	0.6139112107194087	0.5914827527443884	0.494	0.302	0	0	0.192
APBB1IP	0	0.6138366306860726	0.57853993638921275	0.433	0.212	0	0	0.221
CYTOR	0	0.6138136280766673	0.9019258278475178	0.423	0.226	0	0	0.19699999999999998
SRSF7	0	0.613047589597412	0.3716869092731483	0.724	0.58	0	0	0.14400000000000002
JAML	0	0.6120412298716316	0.4718724256605378	0.596	0.361	0	0	0.235
CD28	0	0.6118359351732121	0.683069264340004	0.301	0.079	0	0	0.22199999999999998
ODF2L	0	0.6116449815301145	0.6578256815968323	0.389	0.178	0	0	0.21100000000000002
NSA2	0	0.6101832911249705	0.5371419050594519	0.6	0.462	0	0	0.13799999999999996
FYN	0	0.6099925157492785	0.42594146145459444	0.63	0.428	0	0	0.202
TRAT1	0	0.6097178129301968	0.5913334821504369	0.385	0.162	0	0	0.223
CALM1	0	0.6094486952037576	0.2988779539473878	0.919	0.819	0	0	0.10000000000000009
RPS4Y1	0	0.6092112687345758	0.7924335888704201	0.446	0.254	0	0	0.192
COTL1	0	0.6088344493224185	0.5434435332877949	0.528	0.338	0	0	0.19
ABRACL	0	0.6083236906671398	0.5223204292929045	0.478	0.283	0	0	0.195
CD99	0	0.6082731193091594	0.5147588319697043	0.685	0.538	0	0	0.14700000000000002
TUBA4A	0	0.6081590160013439	0.455364958185722	0.495	0.275	0	0	0.21999999999999997
ATP5MG	0	0.6068992070792155	0.37061445820104844	0.832	0.748	0	0	0.08399999999999996
EVI2B	0	0.6068482965695939	0.5307796198298713	0.492	0.294	0	0	0.198
GPR171	0	0.6066795643122644	0.7781879099345748	0.442	0.257	0	0	0.185
CLDND1	0	0.6063992787382769	0.48310315141521065	0.618	0.477	0	0	0.14100000000000001
IQGAP2	0	0.6060751820012446	0.5104184665889666	0.526	0.331	0	0	0.195
SMAP2	0	0.6056494807553486	0.5419139972205265	0.684	0.538	0	0	0.14600000000000002
CD7	0	0.6055972648895427	0.44537744221818665	0.566	0.336	0	0	0.22999999999999993
GYPC	0	0.6047779124076722	0.5540116157194619	0.538	0.358	0	0	0.18000000000000005
ATP5IF1	0	0.6045520946591953	0.4797371448440533	0.561	0.39	0	0	0.17100000000000004
UBXN1	0	0.6042923604278732	0.41767935883666807	0.71	0.612	0	0	0.09799999999999998
SAMHD1	0	0.6040286372985096	0.7245632522107395	0.319	0.121	0	0	0.198
HLA-C	0	0.6036698720467318	0.327288564068823	0.953	0.841	0	0	0.11199999999999999
RPS6KA5	0	0.6036310074145701	0.6663819402447626	0.316	0.114	0	0	0.202
CXCR4	0	0.6034389777532485	0.3514557297902945	0.85	0.681	0	0	0.16899999999999993
DEK	0	0.603304357749224	0.41509694458659485	0.745	0.648	0	0	0.09699999999999998
SLA	0	0.6030967148243032	0.49950388461834394	0.451	0.246	0	0	0.20500000000000002
MTERF4	0	0.602899819433868	0.6234529612524857	0.366	0.177	0	0	0.189
C12orf57	0	0.6024589833212001	0.48271121922298743	0.535	0.361	0	0	0.17400000000000004
SPTAN1	0	0.6021577655332983	0.5536009063481677	0.458	0.286	0	0	0.17200000000000004
MALAT1	0	0.6019187170944699	0.30080835220397617	1	0.975	0	0	0.025000000000000022
CUTA	0	0.6015445235599985	0.5093293900272271	0.486	0.313	0	0	0.173
FKBP5	0	0.6012836379034596	0.6823234260889741	0.472	0.312	0	0	0.15999999999999998
PLP2	0	0.6009777421846223	0.43152532255973464	0.576	0.402	0	0	0.17399999999999993
S100A4	0	0.6007179251135035	0.6139821777881704	0.765	0.673	0	0	0.09199999999999997
AAK1	0	0.6006221909011545	0.5107268806749199	0.512	0.358	0	0	0.15400000000000003
PABPC1	0	0.6001935556159277	0.4203493741033859	0.873	0.779	0	0	0.09399999999999997
CD6	0	0.6001699338659598	0.5417399693294134	0.346	0.143	0	0	0.20299999999999999
THEM4	0	0.5999946153652789	0.6038235770507869	0.317	0.122	0	0	0.195
FKBP11	0	0.5998252440067123	0.6677557152201622	0.334	0.146	0	0	0.18800000000000003
CASP8	0	0.5996102824675047	0.5916712737285628	0.36	0.168	0	0	0.19199999999999998
GIMAP1	0	0.5995499751556497	0.5212404956177982	0.389	0.187	0	0	0.202
N4BP2L2	0	0.5994810730051189	0.4015972958772478	0.699	0.598	0	0	0.10099999999999998
TMEM173	0	0.5993488133958147	0.6618191016404732	0.279	0.084	0	0	0.195
PEBP1	0	0.5989843446060704	0.4106979193830047	0.57	0.412	0	0	0.15799999999999997
EZR	0	0.5986463391151721	0.4606166965440839	0.607	0.476	0	0	0.131
CORO1A	0	0.5984489854684101	0.45303719912044116	0.488	0.301	0	0	0.187
STK4	0	0.5984233382194835	0.34572458158405395	0.832	0.654	0	0	0.17799999999999994
TMEM243	0	0.5983751879774346	0.5136946477801548	0.374	0.186	0	0	0.188
ICAM3	0	0.5983212758738868	0.5412508559508497	0.359	0.17	0	0	0.18899999999999997
KMT2A	0	0.5973382640232334	0.4960403114363474	0.571	0.442	0	0	0.12899999999999995
HLA-B	0	0.5970399231499692	0.30032662852564584	0.987	0.884	0	0	0.10299999999999998
PSIP1	0	0.5966889442396356	0.5236263063037363	0.466	0.308	0	0	0.15800000000000003
PAG1	0	0.596504612565301	0.4930517160421516	0.383	0.196	0	0	0.187
SNU13	0	0.5958762516697923	0.3460607345623177	0.633	0.491	0	0	0.14200000000000002
SSR4	0	0.5957174288983276	0.32892254921354924	0.767	0.667	0	0	0.09999999999999998
HINT1	0	0.595518237610727	0.28510928320148166	0.904	0.812	0	0	0.09199999999999997
SESN3	0	0.5953047052678045	0.9326301156510479	0.35	0.186	0	0	0.16399999999999998
CCNI	0	0.5950677085825158	0.37171937254320087	0.777	0.686	0	0	0.09099999999999997
C9orf16	0	0.5944687970548101	0.46621058850057384	0.494	0.343	0	0	0.15099999999999997
COX4I1	0	0.5944449967976688	0.31396529915967086	0.87	0.791	0	0	0.07899999999999996
MBNL1	0	0.5939213524180506	0.4353824069015586	0.612	0.486	0	0	0.126
C6orf48	0	0.593894019481168	0.4908884815548116	0.453	0.295	0	0	0.15800000000000003
EIF4A2	0	0.5937076522975664	0.337621531097102	0.672	0.567	0	0	0.1050000000000001
TNRC6B	0	0.5935415346488333	0.4586014786266399	0.526	0.379	0	0	0.14700000000000002
GBP2	0	0.5934178654424996	0.5823553545141937	0.356	0.178	0	0	0.178
HLA-E	0	0.5929956945386082	0.29004171262804146	0.865	0.784	0	0	0.08099999999999996
ACAP1	0	0.5928090848298139	0.43252803149705166	0.458	0.28	0	0	0.178
ZNF831	0	0.5926042574389581	0.6118323653778901	0.251	0.066	0	0	0.185
STK17B	0	0.5919745374193219	0.3788567831844156	0.637	0.507	0	0	0.13
REXO2	0	0.5919252358119983	0.4980029630737316	0.405	0.244	0	0	0.16100000000000003
HERPUD1	0	0.5916341755498148	0.43054387261032856	0.553	0.409	0	0	0.14400000000000007
TLK1	0	0.5909827815344403	0.5827968083897399	0.364	0.207	0	0	0.157
CDC42SE2	0	0.5908862179051136	0.3749144774500026	0.611	0.497	0	0	0.11399999999999999
RTKN2	0	0.5907020761269259	0.98970131395894545	0.225	0.046	0	0	0.179
C9orf78	0	0.5898697816951521	0.44622712162779776	0.5	0.364	0	0	0.136
DUSP16	0	0.5893341010887303	0.552862482485656	0.312	0.143	0	0	0.169
EIF3G	0	0.5891471247149326	0.38475343219240754	0.607	0.508	0	0	0.09899999999999998
DDX24	0	0.5888720409047177	0.3292069904205328	0.719	0.629	0	0	0.08999999999999997
ITM2B	0	0.588353746225643	0.2723911871872473	0.89	0.784	0	0	0.10599999999999998
TRAF3IP3	0	0.58813133803611	0.5282507880565819	0.307	0.133	0	0	0.174
EIF4B	0	0.5880575648815726	0.43579073968991455	0.562	0.463	0	0	0.09900000000000003
GLIPR1	0	0.5879445449648429	0.536581599166688	0.471	0.323	0	0	0.14799999999999996
LINC01943	0	0.5875297578321549	0.6655096688528508	0.283	0.111	0	0	0.172
KLF2	0	0.5874183034796822	0.9051247127473516	0.286	0.121	0	0	0.16499999999999998
PNISR	0	0.5871150669662636	0.377268969685044	0.688	0.604	0	0	0.08399999999999996
SFXN1	0	0.5867898966086859	0.47036229027777354	0.336	0.165	0	0	0.171
DDX18	0	0.5867654256009498	0.3874292965883852	0.559	0.43	0	0	0.12900000000000006
NKTR	0	0.5866645281075702	0.47213866203247523	0.515	0.394	0	0	0.121
OPTN	0	0.5866521543475585	0.43081000140610604	0.467	0.316	0	0	0.15100000000000002
TMEM59	0	0.5862396835522462	0.3522131124859367	0.634	0.534	0	0	0.09999999999999998
CSGALNACT1	0	0.5862348634389685	0.5891348479432684	0.243	0.073	0	0	0.16999999999999998
GIMAP4	0	0.5861462223392319	0.31854578678910594	0.441	0.252	0	0	0.189
CCR6	0	0.5859889141214113	0.6437429360271264	0.217	0.049	0	0	0.16799999999999998
HNRNPA1	0	0.5859743458260981	0.3076283268256308	0.744	0.648	0	0	0.09599999999999997
SNHG8	0	0.5858646848173513	0.4344661247868262	0.446	0.303	0	0	0.14300000000000002
SEC11C	0	0.5858096774542085	0.4725844966404693	0.444	0.3	0	0	0.14400000000000002
GATA3	0	0.5856167235477198	0.5609577219168004	0.271	0.102	0	0	0.16900000000000004
RSRP1	0	0.5843202077243644	0.35817474239100644	0.641	0.557	0	0	0.08399999999999996
TMPO	0	0.5841225071335057	0.43258660993194387	0.397	0.241	0	0	0.15600000000000003
AKAP9	0	0.5840701658091658	0.4250771937887914	0.52	0.388	0	0	0.132
SKAP1	0	0.584058845768967	0.5003985056457976	0.288	0.12	0	0	0.16799999999999998
ALOX5AP	0	0.5834845291490403	0.31526869546536007	0.624	0.468	0	0	0.15599999999999997
RPS17	0	0.5833881607506954	0.3440422164933139	0.643	0.531	0	0	0.11199999999999999
MPHOSPH8	0	0.5832548269813682	0.38723284879445785	0.583	0.486	0	0	0.09699999999999998
CD48	0	0.5829946175900849	0.34719569896067104	0.469	0.304	0	0	0.16499999999999998
IDS	0	0.5825045720608364	0.4053778588316428	0.492	0.367	0	0	0.125
MRPL1	0	0.582443868412705	0.6269133966263097	0.282	0.125	0	0	0.15699999999999997
CCDC107	0	0.5818478083842437	0.42129645148437445	0.447	0.314	0	0	0.133
ATP5F1E	0	0.5815996003934818	0.25258235977955845	0.915	0.844	0	0	0.07100000000000006
ISG20	0	0.5815805203263616	0.28322799806628307	0.686	0.542	0	0	0.14400000000000002
SERP1	0	0.5813117815530288	0.2740113068549901	0.716	0.638	0	0	0.07799999999999996
SELL	0	0.5811853215686619	0.756824183578905	0.213	0.052	0	0	0.161
FAM102A	0	0.5808049893175541	0.39922697643541616	0.338	0.172	0	0	0.16600000000000004
NSD3	0	0.5803419786937353	0.44949987324448704	0.528	0.437	0	0	0.09100000000000003
CYLD	0	0.5801686690880885	0.45321349943976785	0.468	0.358	0	0	0.11000000000000004
PARP1	0	0.5800165840932643	0.4376638971792669	0.387	0.246	0	0	0.14100000000000001
ARGLU1	0	0.5793973892833635	0.39725481295170484	0.584	0.505	0	0	0.07899999999999996
