cluster	gene	Status
moDC1	ARL6IP5	All
moDC1	SLC7A11	All
moDC1	MT-CYB	All
moDC1	ANKRD11	All
ILC/NK	RPS2	All
Tcm	ZFP36L2	Strict
Tcm	TXNIP	Strict
Tcm	RPL13	All
Tcm	RPS16	All
Tcm	RPS2	Strict
Tcm	TSC22D3	All
Tcm	RPL18A	All
Tcm	NEAT1	All
Tcm	FKBP5	All
Tcm	GYPC	All
Tcm	SMAP2	All
Tcm	MT-CYB	Strict
Tcm	IL7R	All
Tcm	RPL18	All
Tcm	ISG20	All
Tcm	MT-ND1	Strict
Tcm	MT-CO3	All
Tcm	RPS9	All
Tcm	EEF2	All
Tcm	HLA-E	All
Tcm	GAPDH	All
Tcm	RPL5	All
Tcm	OSBPL8	All
Tcm	RPL14	All
Tcm	IKZF1	All
Tcm	PIK3IP1	All
Tcm	GPR171	All
Tet	TXNIP	Strict
Tet	RPS2	Strict
Tet	ZFP36L2	Strict
Tet	TSC22D3	Strict
Tet	SMAP2	Strict
Tet	NEAT1	Strict
Tet	MT-CYB	Strict
Tet	RPL13	Strict
Tet	RACK1	Strict
Tet	FKBP5	All
Tet	RPL15	All
Tet	RPS9	All
Tet	MT-CO3	Strict
Tet	MT-ND1	Strict
Tet	ISG20	All
Tet	RPL8	All
Tet	MT-ND4	Strict
Tet	IL7R	Strict
Tet	RPS16	All
Tet	RPL10	Strict
Tet	GIMAP7	Strict
Tet	RPL29	All
Tet	PIK3IP1	All
Tet	RPS4X	All
Tet	GYPC	All
Tet	KLF2	All
Tet	RPL5	All
Tet	RPL19	All
Tet	RPLP0	All
Tet	IKZF1	All
Tet	SARAF	All
Tet	CNOT6L	All
Tet	HLA-E	All
Tet	EEF1D	All
Tet	GPR171	All
Tet	TPT1	All
Tet	AL136454.1	All
Tet	PTMA	All
Tet	CCND3	All
Tet	RPL28	All
Tet	OSBPL8	All
Tet	RPS8	All
Tet	RPL14	All
Tet	NBEAL1	All
Tet	PRDM1	All
Tet	GIMAP1	All
Tet	NFKBIA	All
Tet	FURIN	All
Tet	MT-ATP6	All
Tet	GABPB1-AS1	All
Tet	RNF130	All
Tet	HLA-C	All
Tet	SYNE2	All
Tet	IQGAP2	All
Tet	CD99	All
Tet	SRGN	All
Tet	SLA	All
Tet	RCSD1	All
Tet	GIMAP4	All
Tet	GAPDH	All
Tet	FAM129A	All
Trm1	SMAP2	Strict
Trm1	NEAT1	Strict
Trm1	SRGN	Strict
Trm1	TSC22D3	Strict
Trm1	AHI1	Strict
Trm1	NPM1	Strict
Trm1	NAP1L4	Strict
Trm1	HPGD	Strict
Trm1	BATF	All
Trm1	GYPC	All
Trm1	GNLY	Strict
Trm1	JAML	Strict
Trm1	PDE3B	All
Trm1	FKBP5	Strict
Trm1	HIPK2	All
Trm1	KIAA0319L	All
Trm1	TXNIP	Strict
Trm1	TSHZ2	All
Trm1	ISG20	Strict
Trm1	RACK1	Strict
Trm1	B2M	All
Trm1	SLA	All
Trm1	LINC01943	All
Trm1	ARL4C	All
Trm1	GPX4	All
Trm1	ARL6IP5	All
Trm1	ANKRD28	All
Trm1	CTLA4	All
Trm1	SLC4A7	All
Trm1	GRAMD1B	All
Trm1	GABPB1-AS1	All
Trm1	ZFAND5	All
Trm1	ARID5B	All
Trm1	IL26	All
Trm1	BCL2L11	All
Trm1	GK	All
Trm1	ADGRG1	All
Trm1	PTPN13	All
Trm1	MSI2	All
Trm1	NSD3	All
Trm1	NUSAP1	All
Trm1	CTSH	All
Trm1	MXD4	All
Trm1	PIK3IP1	All
Trm1	HIST1H1D	All
Trm1	BTF3	All
Trm1	IL7R	All
Trm1	C12orf75	All
Trm1	SNX9	All
Trm1	RNF19A	All
Trm1	METTL8	All
Trm1	PNISR	Strict
Trm1	RGS1	All
Trm1	RBMS1	All
Trm1	HLA-DRB1	All
Trm1	MYH9	All
Trm1	FBXO32	All
Trm1	NBAS	All
Trm1	ZCRB1	All
Trm1	CAPZB	All
Trm1	MPRIP	All
Trm1	SYTL3	All
Trm1	HAVCR2	All
Trm1	JAK1	All
Trm1	SLC1A5	All
Trm1	LGALS3	All
Trm1	MIS18BP1	All
Trm1	HIST1H1E	All
Trm1	S1PR4	All
Trm1	KIAA1551	All
Trm1	NSMCE1	All
Trm1	HMGB1	All
Trm1	AKNA	All
Trm1	PRDM1	All
Trm1	EPB41	All
Trm1	ZMYND8	All
Trm1	LPIN2	All
Trm1	JAK3	All
Trm1	CNOT6L	All
Trm1	IFITM2	All
Trm1	NBEAL1	All
Trm1	GBP2	All
Trm1	HIST1H1C	All
Trm1	JUN	All
Trm1	LAPTM5	All
Trm1	BLM	All
Trm1	ZBTB38	All
Trm1	RBPJ	All
Trm1	TYMP	All
Trm1	ZNRF1	All
Trm1	IFI16	All
Trm1	MIR4435-2HG	All
Trm1	ITGB1	All
Trm1	C6orf48	All
B	LAPTM5	All
B	CD37	All
B	MS4A1	All
B	REL	All
B	CD52	All
B	CCR7	All
B	LTB	All
B	JUND	All
B	EVL	All
B	SRRM2	All
B	ATM	All
B	TMPO	All
B	COTL1	All
B	SELL	All
B	ID3	All
B	RIPOR2	All
B	SF3B2	All
B	PNRC2	All
Trm2	RPS16	Strict
Trm2	RPL18	Strict
Trm2	RACK1	Strict
Trm2	RPS2	Strict
Trm2	ZFP36L2	Strict
Trm2	RPL13	All
Trm2	SMAP2	Strict
Trm2	NEAT1	Strict
Trm2	RPL15	All
Trm2	KLF2	Strict
Trm2	EEF2	Strict
Trm2	RPL5	All
Trm2	RPL10	All
Trm2	RPL8	All
Trm2	TXNIP	All
Trm2	RPL29	Strict
Trm2	RPS14	All
Trm2	RPL18A	All
Trm2	RPS3	All
Trm2	RPS4X	All
Trm2	TSC22D3	All
Trm2	RPL7A	All
Trm2	HLA-E	All
Trm2	RPL3	All
Trm2	CCR7	All
Trm2	RPS7	Strict
Trm2	TPT1	All
Trm2	RPL13A	All
Trm2	NACA	All
Trm2	RPS18	All
Trm2	TSHZ2	All
Trm2	RPL28	All
Trm2	RPS8	Strict
Trm2	BTG1	All
Trm2	RPL19	All
Trm2	RPS9	All
Trm2	SMCHD1	All
Trm2	SNHG7	All
Trm2	RPL14	All
Trm2	FTH1	All
Trm2	RPL4	All
Trm2	RPLP0	All
Trm2	PABPC1	All
Trm2	CNOT6L	All
Trm2	ARID5B	All
Trm2	RPSA	All
Trm2	MT-ND4	All
Trm2	AL136454.1	All
Trm2	RPS3A	All
Trm2	PIK3IP1	All
Trm2	PTMA	All
Trm2	ARGLU1	All
Trm2	MT-CO3	All
Trm2	NPM1	All
Trm2	FKBP5	All
Trm2	IKZF1	All
Trm2	S1PR4	All
Trm2	SRGN	All
Trm2	SYTL3	All
Trm2	NBEAL1	All
Trm2	RPL23A	Strict
Trm2	PDE3B	All
Trm2	ZFAS1	All
Trm2	CD7	All
Trm2	EIF3E	Strict
Trm2	RPS12	All
Trm2	HPGD	All
Trm2	BTF3	All
Trm2	MT-CYB	Strict
Trm2	AL357060.1	All
Mono	PLIN2	All
Mono	SLC11A1	All
Mono	RAB13	All
Mono	SLC16A10	All
Mono	SLC25A37	All
Mono	HLA-A	All
Mono	TNFAIP3	All
Mono	ZFP36L1	All
Mono	SLAMF9	All
Mono	FTH1	All
Mono	OSBPL8	All
Mono	LILRB4	All
Mono	DMXL2	All
Mono	FCGRT	All
Mono	MACF1	All
Mono	ST3GAL1	All
Mono	CTSD	All
Mono	P4HA1	All
Mono	ERO1A	All
Mono	LAT	All
Mono	MET	All
Mono	QSOX1	All
Mono	MGLL	All
Mono	CD82	All
Mono	CD14	All
Mono	PILRA	All
Mono	THBS1	All
Mono	TNFAIP6	All
Mono	MT-ND1	All
Mono	HLA-C	All
DC2	HLA-DPB1	All
moDC3	NEAT1	All
Mac1	CD300E	All
Mac1	ZFP36L1	All
Mac1	C1QC	All
Mac1	CD163	All
Mac1	RNASE1	All
Mac1	SLC2A3	All
Mac1	FTH1	All
Mac1	LILRB1	All
Mac1	SLC11A1	All
Mac1	SLC43A2	All
Mac1	ARL4C	All
Mac1	RAB31	All
Mac1	THEMIS2	All
Mac1	PLIN2	All
Mac1	CTSB	All
Mac1	HIP1	All
Mac1	NAMPT	All
Mac1	CUX1	All
Mac1	FCGR2A	All
Mac1	AIF1	All
Mac1	DMXL2	All
Mac1	TGFBI	All
Mac1	PSAP	All
Mac1	TPI1	All
Mac1	TPM4	All
Mac1	RAB13	All
Mac1	CYTH4	All
Mac1	SLC44A1	All
Mac1	RRAS	All
Mac1	ZNF292	All
Mac1	SLAMF9	All
Mac1	GRB2	All
Mac1	PFKFB3	All
Mac1	CFD	All
Mac1	FCGRT	All
Mac1	TMEM176B	All
Mac1	NR1H3	All
Mac1	LAIR1	All
Mac1	PILRA	All
Mac1	DAB2	All
Mac1	SLC7A7	All
Mac1	S100A9	All
Mac1	SMPDL3A	All
Mac1	GLUL	All
Mac1	CPVL	All
Mac1	LCP1	All
Mast	FTH1	All
Mast	ARL4C	All
Mast	TPT1	All
Mast	MALAT1	All
Mast	RPS4X	All
Mast	ZFAS1	All
Mast	PLIN2	All
Mast	MT-CYB	All
Mast	ACOT7	All
Mast	BTG1	All
Mast	LXN	All
Mast	RPL10	All
Mast	RGS1	All
Mast	SYAP1	All
Mast	ZNF331	All
Mast	ARID5B	All
Mast	NEAT1	All
Mast	ZFP36	All
Mast	B2M	All
Mast	HIST1H4C	All
Mast	RPS16	All
Mast	MAFF	All
Mast	HES4	All
Mast	NFKBIA	All
Mast	BNIP3L	All
Mast	RPL23	All
Mast	EPB41L4A-AS1	All
Mast	HLA-B	All
Mast	HIST1H1C	All
Mast	H2AFV	All
Mast	TAF1D	All
Mast	RPL28	All
Mast	H3F3B	All
Mast	BIRC3	All
Mast	GADD45B	All
Mast	FOSB	All
Mast	RPL22L1	All
Mast	YPEL3	All
Mast	HTRA3	All
Mast	IFITM3	All
Mast	RPS14	All
Mast	REL	All
Mast	RALA	All
Mast	KLF6	All
Mast	FOS	All
Mast	NBEAL1	All
Mast	ARHGAP29	All
Mast	CIRBP	All
Mast	PNRC1	All
Mast	PIM3	All
Mast	H1FX	All
Mast	IQGAP2	All
Mast	C15orf48	All
Mast	RPS11	All
Mast	DUSP2	All
Mast	SRGN	All
Mast	HMOX1	All
Mast	STXBP6	All
Mast	TESC	All
Mast	PPIF	All
Mast	RPL15	All
Mast	HLA-A	All
Mast	HIST1H1D	All
Mast	AL136454.1	All
Mast	RUNX3	All
Mast	RPL13A	All
cmTreg	RPL13	All
cmTreg	RPS8	All
cmTreg	TXNIP	All
cmTreg	TPT1	All
LC3	TPT1	All
LC3	CCR7	All
LC3	MALAT1	All
LC3	TNFSF13B	All
LC3	SRGN	All
LC3	PIM1	All
LC3	AL136454.1	All
LC3	ERGIC1	All
LC3	RPS14	All
LC3	PNRC1	All
LC3	DUSP1	All
LC3	TMEM123	All
LC3	CD200	All
LC3	PSMB9	All
LC3	NECAP2	All
LC3	RAC1	All
LC3	H2AFY2	All
LC3	RAB9A	All
LC3	RNF213	All
LC3	ALDH2	All
LC3	RAB13	All
LC3	RNF114	All
LC3	NAV1	All
LC3	SLC44A1	All
LC3	GABARAPL2	All
LC3	S100A6	All
LC3	RUFY3	All
LC3	RPL13	All
LC3	UBE2F	All
LC3	GOLGB1	All
LC3	CDK2AP1	All
LC3	RPL15	All
LC3	ARRB2	All
LC3	BCL2	All
LC3	SMIM14	All
LC3	SPECC1	All
LC3	TAPBP	All
LC3	TBC1D8	All
LC3	EIF2AK4	All
LC3	ANTXR2	All
LC3	MT-CO1	All
LC3	KLF13	All
LC3	NBEAL1	All
LC3	MGLL	All
LC3	APOBEC3G	All
LC3	TSTD1	All
LC3	VPS28	All
LC3	COX4I1	All
LC3	OGFRL1	All
LC3	AKR7A2	All
LC3	BTG1	All
LC3	FBXW5	All
LC3	HIST1H1E	All
LC3	DCAF6	All
LC3	RPL7A	All
LC3	ITGB2	All
LC3	RNF168	All
LC3	NME3	All
LC3	RPL18	All
LC1	ARL4C	All
LC1	SLC44A1	All
LC1	PIM1	All
LC1	FMNL1	All
LC1	AL136454.1	All
LC1	NBL1	All
LC1	ITM2C	All
LC1	HLA-C	All
LC1	KLF13	All
LC1	HLA-B	All
LC1	MGLL	All
LC1	CCR7	All
LC1	SPECC1	All
LC1	A2M	All
LC1	AKR7A2	All
LC1	LAMP3	All
LC1	LUZP1	All
LC1	MALAT1	All
LC1	CCNI	All
LC1	LYZ	All
LC1	ACADVL	All
LC1	NBEAL1	All
LC1	RAB13	All
LC1	BCL2	All
LC1	ANTXR2	All
LC1	TMEM123	All
LC1	ARMC9	All
LC1	SQOR	All
LC1	CTSZ	All
LC1	KDM1A	All
LC1	AGPAT3	All
LC1	APMAP	All
LC1	NSD3	All
LC1	HIST1H4C	All
LC1	GPX4	All
LC1	ARPC5	All
LC1	CSRP2	All
LC1	ARL6IP5	All
LC1	SMIM14	All
LC1	WASF2	All
LC1	MGST3	All
LC1	TSTD1	All
LC1	CCDC88A	All
LC1	CACNB3	All
LC1	B2M	All
LC1	RAB9A	All
LC1	TBL1X	All
LC1	SH3KBP1	All
LC1	CAVIN3	All
moDC2	MYL12A	All
moDC2	SINHCAF	All
moDC2	CMTM6	All
moDC2	MALAT1	All
moDC2	MOB1A	All
moDC2	LMNB1	All
moDC2	TPT1	All
moDC2	LY75	All
moDC2	MYO1G	All
moDC2	CALM3	All
moDC2	FOXN3	All
moDC2	SOD2	All
moDC2	RAB9A	All
moDC2	CD200	All
moDC2	KLF6	All
moDC2	PRRG4	All
moDC2	RPS18	All
moDC2	FOXP1	All
moDC2	SOCS3	All
moDC2	RPL29	All
moDC2	RPS14	All
moDC2	MAP3K1	All
moDC2	ACTG1	All
moDC2	INSM1	All
moDC2	CAP1	All
moDC2	RPS11	All
moDC2	RPS19	All
moDC2	MT-CO1	All
moDC2	INSIG1	All
moDC2	RPS4X	All
